C_ACCTBAL,C_ADDRESS,C_COMMENT,C_CUSTKEY,C_MKTSEGMENT,C_NAME,C_NATIONKEY,C_PHONE
3653.170000000000000000,kBV62efx6B6Iw2VsRxqEr1sKQ,inal packages. ironic dinos cajole against the care,60017,AUTOMOBILE,Customer#000060017,1,11-139-952-4191
5759.830000000000000000,lQ8PB9FGW53C36XQX2uq0,ckly bold deposits. carefully bold accounts integrat,60018,BUILDING,Customer#000060018,0,10-310-354-8579
3444.770000000000000000,kSI6njhnR ApXo031vtmCAaXo,ncies. blithely silent gifts above the carefully ,60019,MACHINERY,Customer#000060019,1,11-624-666-9689
1187.300000000000000000,JlAdCcLE8wEqFc0,equests use slyly after the ironic accounts. regular deposits haggle. ironically unusual theod,60020,FURNITURE,Customer#000060020,15,25-432-919-9170
9919.510000000000000000,KsKuSbEyZEenCWB7F1uMaOm54bciBqZfU,ake slyly around the permanently final deposits. furio,60021,HOUSEHOLD,Customer#000060021,5,15-729-930-2564
-759.740000000000000000,"I2XoZQLC,63R3zIG z6i3VMCS", across the blithely ironic sentiments. thinly pending requests sleep quickly alongsid,60022,FURNITURE,Customer#000060022,0,10-513-498-1045
-12.970000000000000000,"xW88V4b5xKDArlo0qP,z XmrcQ R", the fluffily final somas. ideas haggle above the quickly final requ,60023,MACHINERY,Customer#000060023,21,31-806-887-2010
-6.640000000000000000,7JBly7LjGnzGYfJCcPeyIoqIwWda,r ideas use. slyly special accounts haggle sometimes even ,60024,HOUSEHOLD,Customer#000060024,2,12-100-286-8418
7296.150000000000000000,fHgT5BscCU4NDQzn, pains cajole slyly permanently regular deposits. carefully ruthless packages sleep. even excuses nag slyly!,60025,MACHINERY,Customer#000060025,22,32-222-885-5210
7508.130000000000000000,",ltdh6LPkAX01E,y8r9",quests nag quickly. slyly unusual deposits after the blithely i,60026,FURNITURE,Customer#000060026,21,31-774-338-9389
6115.220000000000000000,"U,Y EKzklGgxO9HK4uT2g",s. ironic packages are carefully slyly unusual excuse,60027,MACHINERY,Customer#000060027,24,34-250-415-3801
3494.990000000000000000,qoxXSl3gyR5EnAsp,e the quickly unusual theodolites cajole slyly blithely r,60028,FURNITURE,Customer#000060028,6,16-234-762-4451
9281.150000000000000000,"5xZC76MsijD,s0i137ZP, DHyiw7kSS1HZ35kos3","longside of the ironic, regular foxes. carefully special ideas across the q",60029,FURNITURE,Customer#000060029,14,24-983-762-4152
6397.500000000000000000,Z83eL7JAqUtvICQpzurfi,"le quickly even ideas. final, pending accounts try to sleep. sl",60030,MACHINERY,Customer#000060030,21,31-255-824-1782
6765.740000000000000000,RsGAZJyxQopaxWfk5,cial deposits. ironic requests across the iro,60031,FURNITURE,Customer#000060031,8,18-381-736-7702
2896.860000000000000000,ODYUHV1 EEwTKPxjqraz8Qj 7,"ecial, final asymptotes. quickly brave ",60032,MACHINERY,Customer#000060032,16,26-327-503-7376
-493.590000000000000000,fwvb5ua8ZcB,lithely final packages. quickly regular requests s,60033,MACHINERY,Customer#000060033,24,34-142-708-2404
7230.690000000000000000, XHRzdojlNAuRjTNRn7A1aL9OYJj56nud1sVss,"sts. final packages along the daringly bold ideas haggle blithely slyly careful requests. unusual, bold as",60034,AUTOMOBILE,Customer#000060034,14,24-991-831-7826
7189.500000000000000000,"pNlmNfCzO8VyidrSxb1,xLDVe72pA8AaSgjM","ular pinto beans thrash after the instructions. bold, express dolphins affix. blithely regular attainments use furi",60035,MACHINERY,Customer#000060035,13,23-458-688-7730
7897.900000000000000000,uS6mnAgdAJxYUXHKV6pJeA,refully ironic foxes use blithely arou,60036,AUTOMOBILE,Customer#000060036,12,22-567-329-8836
1032.420000000000000000,CwMXJOZEIpfMBG Ou8i," regular, slow asymptotes cajole carefully after the even packages. regular ex",60037,MACHINERY,Customer#000060037,4,14-558-867-3263
2771.180000000000000000, FBvBksLyQsKovVujfq8XQ,"g ideas about the express, special asymptotes wake fluffily special, bold asymptotes. blithel",60038,HOUSEHOLD,Customer#000060038,7,17-472-497-4468
-765.420000000000000000,4ueytKAS57U k9mT,"ular theodolites. special ideas wake. express, unusual dependencies cajole furiously ironic packages. furio",60039,MACHINERY,Customer#000060039,10,20-568-367-3870
3446.780000000000000000,7h5ewM0d9iNA,"ronic platelets. unusual, final foxes",60040,MACHINERY,Customer#000060040,4,14-208-209-8223
1943.820000000000000000,"7v,yuEy1eSGCIR",elets haggle furiously after the regular depend,60041,FURNITURE,Customer#000060041,8,18-726-365-9334
8681.960000000000000000,ISIiBHlZbYLcKvjENUzOujxtpesZkn6d,ptotes. furiously special accounts wake quickly carefully final deposits. blithe deposits besides the fi,60042,BUILDING,Customer#000060042,17,27-877-618-6057
737.030000000000000000,6SLQTGRhNJBKEJl9aekego5iwHgy,"sly final requests use furiously along the stealthily final excuses. express, even accounts",60043,HOUSEHOLD,Customer#000060043,0,10-115-238-4882
-812.910000000000000000,h0Pq22NKefS3TAEzNX pwRXnRMUbIbi4Gg,ly alongside of the final requests. ironic pains across the deposits affix slyly agains,60044,FURNITURE,Customer#000060044,4,14-935-681-4749
8388.110000000000000000,tdK8K5oQAv 65 8dBXSVqlkaVTi1yGQ212OIhdw," the furiously regular requests detect alongside of the blithely final packages. silent, pending deposits ",60045,AUTOMOBILE,Customer#000060045,1,11-324-301-1077
1022.570000000000000000,VnzEPMAo8c9UxMI6, carefully unusual packages boost carefully across the furious,60046,AUTOMOBILE,Customer#000060046,20,30-318-671-3782
2264.760000000000000000,"FETxgdO1 Nn,HkjnlMNx3dvUrM4qMlf",nding accounts sleep furiously c,60047,HOUSEHOLD,Customer#000060047,2,12-721-745-5342
1798.130000000000000000,72pgkyyStsx2,egular deposits. fluffily careful requ,60048,HOUSEHOLD,Customer#000060048,8,18-277-123-4299
2128.830000000000000000,2ST732JS cryl ,"es: express pinto beans wake across the carefully dogged dependencies. express, final ideas a",60049,BUILDING,Customer#000060049,9,19-228-258-6362
